,seed,actions
55,55,"[3, 1, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 2, 2, 2, 2]"
56,56,"[1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 3]"
57,57,"[0, 3, 2, 2, 0, 0, 3, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 2, 2, 1, 1, 3, 2, 3, 0, 3, 0, 3, 3, 1, 2, 2]"
58,58,"[3, 0, 2, 3, 1, 3, 0]"
59,59,[]
60,60,"[3, 1, 1, 2, 0, 3, 1, 1]"
61,61,[]
62,62,"[2, 1, 3, 2, 3, 1, 2, 2, 1, 1, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 3, 3, 0, 3, 2, 1, 1, 0, 3, 0, 2, 2, 2, 1, 1, 1, 3, 1, 3, 0, 0]"
63,63,"[0, 2, 3, 1, 2, 0, 2]"
64,64,"[3, 0, 0, 2, 1]"
65,65,[]
66,66,"[3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 2, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 2, 1, 3, 3, 3, 0, 2, 3, 2, 0, 2, 0, 2, 1, 3, 3, 1, 3, 1, 2, 2, 0, 3, 3, 1, 2, 2, 2, 0]"
67,67,"[0, 2, 2, 2, 3, 2, 0, 2, 0, 0, 0, 3, 1, 3, 2, 2, 1, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 0, 0, 3, 1, 1, 1, 1, 2, 0]"
68,68,"[2, 3, 2, 0, 2, 1, 1, 0, 3, 3, 1, 2]"
69,69,"[1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 3, 1, 3, 2, 2, 1, 1, 3, 3, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2, 2, 2, 0, 2, 0, 0, 3, 1, 1]"
70,70,"[3, 1, 3, 2, 0, 2, 2, 1, 3, 3, 1, 3, 1, 2, 3, 2, 0, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1]"
71,71,[]
72,72,"[1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 1, 2, 3, 0, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 1, 1, 2, 1, 2, 1, 3, 3, 0, 0]"
73,73,"[0, 2, 3, 2, 1, 3, 3, 3, 0, 2]"
74,74,[]
75,75,"[2, 0, 2, 3, 1, 2, 2]"
76,76,"[3, 2, 0, 0, 0, 3, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 3, 0, 2, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 0, 2, 0, 3, 3, 3, 1, 2, 1, 1, 2, 3, 0, 0, 2, 3, 3, 0, 2, 2, 1, 1, 3, 1, 2, 1, 1, 3, 0, 0, 0, 2, 0, 3]"
77,77,"[3, 3, 0, 0, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 1, 3, 2, 0, 3, 0, 0, 2, 1]"
78,78,[]
79,79,[]
80,80,[]
